code,LISA_Cluster,LISA_P_Value
E01000037,0,0.064
E01033729,0,0.065
E01000038,1,0.032
E01033730,0,0.35
E01000039,0,0.086
E01033731,0,0.481
E01000040,1,0.015
E01033732,2,0.002
E01000041,1,0.044
E01033733,1,0.015
E01000042,1,0.006
E01033734,0,0.091
E01000043,1,0.012
E01033735,0,0.291
E01000044,1,0.001
E01033736,2,0.012
E01000045,1,0.019
E01033737,2,0.006
E01000123,0,0.305
E01033738,0,0.427
E01033739,1,0.001
E01000001,0,0.156
E01033740,1,0.005
E01000002,0,0.066
E01033741,1,0.012
E01000003,3,0.037
E01033742,0,0.244
E01000005,2,0.011
E01000006,1,0.004
E01033743,1,0.001
E01000007,1,0.001
E01033744,0,0.236
E01000008,1,0.001
E01033745,1,0.005
E01000009,1,0.001
E01033746,0,0.399
E01000010,1,0.001
E01000011,1,0.001
E01000012,1,0.001
E01000013,0,0.087
E01000014,0,0.102
E01000015,0,0.051
E01000016,1,0.016
E01000017,0,0.137
E01000018,0,0.108
E01000019,1,0.03
E01000020,0,0.067
E01000021,1,0.004
E01000022,0,0.079
E01000023,1,0.005
E01000024,0,0.11
E01000025,1,0.036
E01000027,0,0.051
E01000028,1,0.031
E01000029,1,0.007
E01000030,1,0.032
E01000031,1,0.049
E01000032,1,0.005
E01000033,1,0.036
E01000034,0,0.069
E01000035,0,0.09
E01000036,1,0.023
E01000046,1,0.038
E01000048,1,0.003
E01000049,1,0.001
E01000050,1,0.001
E01000051,1,0.001
E01000052,1,0.001
E01000053,0,0.068
E01000054,1,0.027
E01000055,1,0.03
E01000056,0,0.116
E01000057,1,0.04
E01000058,0,0.153
E01000059,0,0.092
E01000060,1,0.041
E01000061,0,0.087
E01000062,0,0.106
E01000063,0,0.15
E01000064,0,0.086
E01000065,0,0.163
E01000066,1,0.002
E01000067,1,0.002
E01000068,1,0.001
E01000069,1,0.002
E01000070,1,0.001
E01000071,1,0.002
E01000072,1,0.007
E01000073,1,0.005
E01000074,0,0.173
E01000075,0,0.068
E01000076,0,0.066
E01000077,0,0.112
E01000078,0,0.136
E01000079,0,0.131
E01000080,0,0.167
E01000081,0,0.191
E01000082,0,0.171
E01000083,0,0.152
E01000084,0,0.068
E01000085,0,0.074
E01000086,0,0.213
E01000087,1,0.015
E01000088,1,0.018
E01000089,1,0.013
E01000090,1,0.002
E01000091,1,0.001
E01000092,1,0.001
E01000093,1,0.001
E01000094,1,0.001
E01000095,1,0.001
E01000096,1,0.007
E01000097,1,0.022
E01000098,1,0.028
E01000099,1,0.033
E01000100,1,0.037
E01000101,1,0.025
E01000102,0,0.06
E01000103,1,0.009
E01000104,0,0.053
E01000105,1,0.029
E01000106,1,0.035
E01000107,0,0.117
E01000108,1,0.034
E01000109,1,0.021
E01000110,1,0.039
E01000111,1,0.008
E01000112,1,0.005
E01000113,1,0.022
E01000114,1,0.021
E01000115,0,0.087
E01000116,0,0.415
E01000117,0,0.5
E01000118,0,0.357
E01000119,0,0.089
E01000120,0,0.196
E01000121,0,0.278
E01000122,0,0.172
E01000124,0,0.357
E01000125,1,0.004
