code,LISA_Cluster,LISA_P_Value
E01000037,3,0.041
E01033729,3,0.011
E01000038,0,0.055
E01033730,0,0.084
E01000039,3,0.029
E01033731,0,0.084
E01000040,0,0.226
E01033732,4,0.01
E01000041,0,0.43
E01033733,3,0.032
E01000042,0,0.377
E01033734,0,0.414
E01000043,0,0.166
E01033735,0,0.5
E01000044,1,0.006
E01033736,0,0.134
E01000045,0,0.405
E01033737,0,0.399
E01000123,0,0.15
E01033738,0,0.112
E01033739,3,0.006
E01000001,3,0.001
E01033740,3,0.025
E01000002,3,0.001
E01033741,0,0.105
E01000003,0,0.068
E01033742,0,0.281
E01000005,3,0.001
E01000006,0,0.111
E01033743,3,0.015
E01000007,1,0.041
E01033744,0,0.478
E01000008,0,0.421
E01033745,3,0.047
E01000009,1,0.038
E01033746,4,0.006
E01000010,1,0.018
E01000011,0,0.141
E01000012,1,0.033
E01000013,0,0.48
E01000014,0,0.343
E01000015,0,0.305
E01000016,0,0.309
E01000017,0,0.463
E01000018,0,0.459
E01000019,0,0.171
E01000020,0,0.068
E01000021,0,0.244
E01000022,0,0.154
E01000023,0,0.346
E01000024,0,0.089
E01000025,0,0.178
E01000027,3,0.007
E01000028,0,0.054
E01000029,0,0.092
E01000030,0,0.093
E01000031,3,0.032
E01000032,0,0.126
E01000033,0,0.204
E01000034,0,0.052
E01000035,0,0.134
E01000036,0,0.113
E01000046,0,0.208
E01000048,1,0.043
E01000049,0,0.372
E01000050,1,0.021
E01000051,1,0.033
E01000052,0,0.321
E01000053,0,0.197
E01000054,0,0.402
E01000055,0,0.458
E01000056,0,0.263
E01000057,0,0.32
E01000058,0,0.363
E01000059,0,0.343
E01000060,0,0.463
E01000061,3,0.046
E01000062,0,0.294
E01000063,0,0.412
E01000064,0,0.48
E01000065,0,0.143
E01000066,0,0.387
E01000067,0,0.312
E01000068,2,0.031
E01000069,0,0.293
E01000070,0,0.303
E01000071,0,0.317
E01000072,0,0.276
E01000073,0,0.357
E01000074,0,0.498
E01000075,0,0.38
E01000076,0,0.45
E01000077,0,0.223
E01000078,0,0.322
E01000079,0,0.332
E01000080,0,0.468
E01000081,0,0.325
E01000082,0,0.286
E01000083,0,0.139
E01000084,0,0.378
E01000085,0,0.381
E01000086,0,0.351
E01000087,0,0.263
E01000088,0,0.268
E01000089,0,0.053
E01000090,3,0.011
E01000091,0,0.107
E01000092,3,0.015
E01000093,0,0.444
E01000094,0,0.089
E01000095,0,0.093
E01000096,0,0.294
E01000097,0,0.14
E01000098,0,0.205
E01000099,0,0.146
E01000100,0,0.214
E01000101,0,0.498
E01000102,0,0.068
E01000103,0,0.191
E01000104,4,0.02
E01000105,0,0.476
E01000106,0,0.216
E01000107,3,0.037
E01000108,0,0.292
E01000109,0,0.123
E01000110,0,0.164
E01000111,0,0.432
E01000112,0,0.391
E01000113,0,0.3
E01000114,0,0.147
E01000115,0,0.131
E01000116,0,0.079
E01000117,0,0.119
E01000118,0,0.121
E01000119,0,0.093
E01000120,0,0.133
E01000121,0,0.197
E01000122,0,0.061
E01000124,0,0.398
E01000125,0,0.104
E01000126,0,0.449
E01000127,0,0.2
E01000128,0,0.411
E01000129,0,0.217
E01000130,0,0.315
E01000131,0,0.118
E01000132,0,0.404
E01000133,0,0.474
E01000134,0,0.375
E01000135,0,0.44
E01000136,3,0.04
E01000137,0,0.454
E01000138,0,0.483
E01000139,0,0.325
E01000140,0,0.133
E01000141,1,0.019
E01000142,0,0.345
E01000143,0,0.395
E01000144,0,0.494
E01000145,0,0.379
E01000146,0,0.141
E01000147,0,0.348
E01000148,0,0.34
E01000150,0,0.431
E01000151,0,0.456
E01000152,0,0.187
E01000153,0,0.421
E01000154,0,0.497
E01000155,0,0.461
E01000156,0,0.158
E01000157,0,0.085
E01000158,0,0.163
E01000159,0,0.172
E01000160,0,0.291
E01000161,0,0.168
E01000162,0,0.087
E01000163,0,0.181
E01000164,0,0.149
E01000165,0,0.228
E01000166,3,0.03
E01000167,0,0.052
E01000168,3,0.034
E01000169,0,0.07
E01000170,0,0.136
E01000171,0,0.2
E01000172,3,0.042
E01000173,0,0.103
E01000174,0,0.115
E01000175,0,0.133
E01000176,0,0.196
E01000177,0,0.371
E01000178,0,0.261
E01000179,0,0.217
E01000180,0,0.426
E01000181,0,0.185
E01000182,0,0.232
E01000183,0,0.35
E01000184,0,0.125
E01000185,0,0.19
E01000186,0,0.194
E01000187,0,0.309
E01000189,0,0.058
E01000190,0,0.152
E01000191,0,0.311
E01000192,0,0.453
E01000193,0,0.228
E01000194,0,0.456
E01000195,0,0.067
E01000196,0,0.248
E01000197,0,0.324
E01000198,3,0.042
E01000199,0,0.086
E01000200,0,0.193
E01000201,0,0.293
E01000202,0,0.282
E01000203,0,0.137
E01000204,0,0.095
E01000205,0,0.079
E01000206,3,0.002
E01000207,3,0.013
E01000208,3,0.05
E01000209,0,0.127
E01000210,0,0.091
E01000211,0,0.157
E01000212,0,0.096
E01000213,3,0.029
E01000214,0,0.073
E01000215,0,0.46
E01000216,0,0.31
E01000217,0,0.476
E01000218,0,0.1
E01000219,0,0.328
E01000220,0,0.254
E01000221,0,0.348
E01000222,0,0.465
E01000223,0,0.319
E01000224,0,0.426
E01000225,0,0.361
E01000226,0,0.363
E01000227,0,0.407
E01000228,3,0.018
E01000229,0,0.308
E01000230,0,0.249
E01000231,0,0.056
E01000232,0,0.308
E01000233,0,0.438
E01000234,0,0.346
E01000235,0,0.236
E01000236,0,0.399
E01000237,0,0.376
E01000238,0,0.358
E01000239,0,0.449
E01000240,0,0.162
E01000241,0,0.439
E01000242,0,0.364
E01000243,0,0.486
E01000244,0,0.481
E01000245,0,0.238
E01000246,3,0.047
E01000247,0,0.059
E01000248,3,0.029
E01000249,0,0.188
E01000250,0,0.061
E01000251,0,0.366
E01000252,0,0.12
E01000255,3,0.004
E01000256,3,0.014
E01000257,3,0.036
E01000258,3,0.015
E01000259,3,0.01
E01000260,3,0.026
E01000261,3,0.004
E01000262,3,0.01
E01000263,3,0.011
E01000264,3,0.034
E01000265,4,0.049
E01000266,0,0.229
E01000267,0,0.144
E01000268,0,0.107
E01000269,0,0.12
E01000270,0,0.343
E01000271,0,0.06
E01000272,0,0.144
E01000273,0,0.064
E01000274,0,0.065
E01000275,0,0.114
E01000276,3,0.017
E01000277,0,0.439
E01000278,3,0.048
E01000279,3,0.003
E01000280,3,0.031
E01000281,0,0.062
E01000282,0,0.062
E01000283,3,0.009
E01000284,0,0.096
E01000285,0,0.083
E01000286,0,0.066
E01000287,3,0.029
E01000288,3,0.012
E01000289,3,0.035
E01000291,3,0.034
E01000292,3,0.047
E01000293,3,0.044
E01000294,0,0.072
E01000295,0,0.481
E01000296,0,0.29
E01000297,0,0.459
E01000298,0,0.345
E01000299,0,0.314
E01000300,0,0.331
E01000301,0,0.172
E01000302,0,0.433
E01000303,0,0.08
E01000304,0,0.068
E01000305,0,0.327
E01000306,0,0.32
E01000307,0,0.299
E01000308,0,0.38
E01000309,0,0.198
E01000310,0,0.352
E01000311,0,0.365
E01000312,0,0.23
E01000313,0,0.414
E01000314,0,0.115
E01000315,0,0.119
E01000316,0,0.213
E01000317,0,0.489
E01000318,0,0.409
E01000319,0,0.431
E01000320,0,0.099
E01000321,0,0.291
E01000322,0,0.439
E01000323,0,0.342
E01000324,0,0.141
E01000325,3,0.034
E01000326,3,0.042
E01000327,0,0.058
E01000328,3,0.011
E01000329,3,0.028
E01000330,3,0.017
E01000331,3,0.008
E01000332,3,0.033
E01000333,0,0.137
E01000334,3,0.017
E01000335,3,0.025
E01000336,4,0.038
E01000337,0,0.115
E01000338,4,0.05
E01000339,3,0.039
E01000340,3,0.044
E01000341,0,0.18
E01000342,0,0.069
E01000343,0,0.115
E01000344,0,0.103
E01000345,3,0.043
E01000346,0,0.118
E01000347,0,0.111
E01000348,0,0.065
E01000349,3,0.011
E01000350,3,0.033
E01000351,3,0.018
E01000352,3,0.023
E01000353,0,0.142
E01000354,0,0.326
E01000355,0,0.088
E01000356,0,0.36
E01000357,0,0.436
E01000358,0,0.142
E01000359,0,0.286
E01000360,0,0.096
E01000361,3,0.035
E01000362,3,0.031
E01000363,3,0.043
E01000364,3,0.01
E01000365,0,0.081
E01000366,0,0.175
E01000367,0,0.124
E01000368,0,0.296
E01000369,0,0.164
E01000370,3,0.039
E01000371,0,0.068
E01000372,0,0.094
E01000373,0,0.134
E01000376,3,0.049
E01000377,3,0.023
E01000380,3,0.024
E01000382,3,0.018
E01000384,3,0.021
E01000385,3,0.01
E01000386,3,0.004
E01000387,3,0.016
E01000388,0,0.08
E01000389,0,0.063
E01000390,3,0.017
E01000391,0,0.107
E01000392,0,0.106
E01000393,0,0.361
E01000394,0,0.105
E01000395,3,0.04
E01000396,3,0.021
E01000398,3,0.035
E01000399,0,0.156
E01000400,0,0.112
E01000401,0,0.296
E01000402,0,0.053
E01000403,3,0.036
E01000404,3,0.028
E01000405,3,0.024
E01000406,3,0.018
E01000407,0,0.089
E01000408,3,0.015
E01000409,0,0.074
E01000410,0,0.466
E01000411,0,0.186
E01000412,0,0.051
E01000413,0,0.125
E01000414,0,0.202
E01000415,0,0.424
E01000416,0,0.062
E01000417,3,0.048
E01000418,0,0.078
E01000419,3,0.018
E01000420,3,0.024
E01000421,0,0.217
E01000422,4,0.027
E01000423,3,0.032
E01000424,3,0.038
E01000425,0,0.08
E01000426,3,0.017
E01000427,3,0.004
E01000428,3,0.009
E01000429,0,0.192
E01000431,0,0.082
E01000432,0,0.19
E01000433,0,0.428
E01000435,0,0.067
E01000436,0,0.207
E01000437,0,0.196
E01000438,0,0.091
E01000439,0,0.268
E01000440,0,0.071
E01000441,0,0.087
E01000442,0,0.056
E01000443,3,0.029
E01000445,3,0.015
E01000446,3,0.008
E01000447,3,0.006
E01000448,3,0.011
E01000449,3,0.015
E01000450,0,0.051
E01000451,0,0.113
E01000452,0,0.383
E01000453,0,0.463
E01000454,0,0.177
E01000455,0,0.484
E01000456,0,0.358
E01000457,3,0.029
E01000458,3,0.044
E01000459,3,0.026
E01000460,3,0.022
E01000461,3,0.012
E01000462,3,0.016
E01000463,3,0.042
E01000464,3,0.043
E01000465,3,0.029
E01000466,3,0.014
E01000467,3,0.029
E01000468,3,0.004
E01000469,3,0.019
E01000470,0,0.071
E01000471,0,0.335
E01000472,0,0.189
E01000473,0,0.233
E01000474,0,0.071
E01000475,0,0.487
E01000476,0,0.09
E01000477,0,0.423
E01000478,0,0.17
E01000479,0,0.357
E01000480,0,0.284
E01000481,0,0.224
E01000482,0,0.411
E01000483,0,0.351
E01000484,0,0.384
E01000485,0,0.137
E01000486,0,0.188
E01000487,0,0.245
E01000488,0,0.387
E01000489,0,0.13
E01000490,0,0.126
E01000491,0,0.466
E01000492,0,0.49
E01000493,0,0.262
E01000494,0,0.413
E01000495,0,0.201
E01000497,0,0.424
E01000498,0,0.387
E01000499,0,0.418
E01000501,0,0.387
E01000502,0,0.116
E01000503,0,0.19
E01000504,1,0.013
E01000505,1,0.001
E01000506,1,0.016
E01000507,1,0.021
E01000508,0,0.051
E01000509,0,0.265
E01000510,0,0.076
E01000511,0,0.312
E01000512,0,0.094
E01000513,0,0.461
E01000514,0,0.458
E01000515,0,0.231
E01000516,0,0.156
E01000517,0,0.089
E01000518,0,0.322
E01000519,0,0.26
E01000520,0,0.407
E01000521,1,0.014
E01000522,0,0.104
E01000523,1,0.002
E01000524,1,0.001
E01000525,0,0.114
E01000526,0,0.075
E01000527,1,0.005
E01000528,1,0.014
E01000530,1,0.016
E01000531,0,0.133
E01000532,1,0.027
E01000533,1,0.01
E01000534,0,0.276
E01000535,1,0.005
E01000536,0,0.113
E01000538,0,0.323
E01000539,0,0.263
E01000540,0,0.158
E01000541,0,0.337
E01000543,0,0.426
E01000544,1,0.001
E01000545,1,0.002
E01000546,0,0.153
E01000547,1,0.037
E01000548,1,0.001
E01000549,1,0.028
E01000550,1,0.01
E01000551,1,0.001
E01000552,1,0.028
E01000553,1,0.02
E01000554,0,0.099
E01000555,1,0.01
E01000556,1,0.023
E01000557,1,0.023
E01000558,1,0.024
E01000559,1,0.023
E01000560,1,0.044
E01000561,0,0.099
E01000562,0,0.061
E01000563,0,0.09
E01000564,0,0.372
E01000565,0,0.245
E01000566,0,0.342
E01000567,0,0.368
E01000568,3,0.026
E01000569,0,0.256
E01000570,0,0.297
E01000571,0,0.15
E01000572,0,0.125
E01000573,0,0.32
E01000574,0,0.443
E01000575,0,0.498
E01000576,0,0.438
E01000577,0,0.426
E01000578,0,0.477
E01000579,0,0.061
E01000580,2,0.005
E01000581,0,0.095
E01000582,0,0.409
E01000583,1,0.036
E01000584,1,0.005
E01000585,1,0.006
E01000586,1,0.001
E01000587,0,0.121
E01000588,0,0.296
E01000589,0,0.312
E01000590,0,0.282
E01000591,0,0.482
E01000592,1,0.042
E01000593,0,0.1
E01000594,0,0.089
E01000595,0,0.312
E01000596,0,0.304
E01000599,0,0.216
E01000600,0,0.073
E01000601,0,0.075
E01000602,0,0.4
E01000603,0,0.448
E01000604,0,0.265
E01000605,0,0.463
E01000606,0,0.347
E01000607,0,0.226
E01000608,0,0.246
E01000609,0,0.446
E01000610,0,0.375
E01000611,0,0.155
E01000612,0,0.183
E01000613,0,0.275
E01000615,0,0.424
E01000616,0,0.414
E01000617,0,0.381
E01000618,0,0.259
E01000619,0,0.277
E01000620,0,0.272
E01000621,0,0.337
E01000622,0,0.384
E01000623,0,0.376
E01000624,0,0.099
E01000625,0,0.425
E01000626,0,0.448
E01000627,0,0.362
E01000628,0,0.118
E01000629,0,0.269
E01000630,0,0.059
E01000631,0,0.164
E01000632,0,0.082
E01000633,0,0.142
E01000634,0,0.166
E01000635,1,0.041
E01000636,0,0.203
E01000637,1,0.001
E01000638,1,0.005
E01000639,1,0.002
E01000640,1,0.028
E01000641,1,0.002
E01000642,1,0.035
E01000643,2,0.002
E01000644,1,0.002
E01000645,3,0.004
E01000646,3,0.013
E01000647,0,0.132
E01000648,3,0.01
E01000649,3,0.003
E01000650,3,0.008
E01000651,3,0.016
E01000652,3,0.015
E01000653,3,0.004
E01000655,3,0.021
E01000657,3,0.007
E01000658,3,0.007
E01000659,3,0.017
E01000661,3,0.004
E01000662,3,0.005
E01000663,3,0.003
E01000664,3,0.004
E01000665,3,0.002
E01000666,3,0.002
E01000667,3,0.003
E01000668,3,0.019
E01000669,4,0.013
E01000670,3,0.037
